config_id,final_loss,accuracy,accuracy_error,max_hidden_units,use_bias,weight_init_range,learning_rate,batch_size,seed,training_time,actual_hidden_units
291,0.6184311058729463,0.7106481481481481,0.042761668790578904,4,False,"(-0.5, 0.5)",0.1,8,456,0.02037644386291504,0
292,0.6081605013637761,0.7037037037037037,0.043059821757163316,4,False,"(-0.5, 0.5)",0.1,16,42,0.014131307601928711,0
318,0.6185452404146186,0.7083333333333334,0.04286239526652166,4,False,"(-1.0, 1.0)",0.1,8,456,0.0204010009765625,0
325,0.6428427822838443,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.01,8,42,0.026395320892333984,1
326,0.6337231402949483,0.7129629629629629,0.04265958752691199,5,True,"(-0.1, 0.1)",0.01,8,123,0.029886245727539062,1
327,0.6066108467617799,0.7083333333333334,0.04286239526652166,5,True,"(-0.1, 0.1)",0.01,8,456,0.053771018981933594,3
328,0.6881568457411372,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.01,16,42,0.026991605758666992,1
329,0.6263067377713777,0.7083333333333334,0.04286239526652166,5,True,"(-0.1, 0.1)",0.01,16,123,0.05594348907470703,3
330,0.6632718514231234,0.6921296296296297,0.04353032060400154,5,True,"(-0.1, 0.1)",0.01,16,456,0.03733229637145996,2
331,0.7319534247336411,0.6967592592592593,0.04334603194892665,5,True,"(-0.1, 0.1)",0.01,32,42,0.03158307075500488,2
332,0.6814080131625205,0.7083333333333334,0.04286239526652166,5,True,"(-0.1, 0.1)",0.01,32,123,0.05210471153259277,3
333,0.6637645744928617,0.6967592592592593,0.04334603194892665,5,True,"(-0.1, 0.1)",0.01,32,456,0.06445837020874023,4
334,0.6001282101429983,0.7129629629629629,0.04265958752691199,5,True,"(-0.1, 0.1)",0.05,8,42,0.04805183410644531,2
335,0.6014045573026015,0.7013888888888888,0.04315654019155662,5,True,"(-0.1, 0.1)",0.05,8,123,0.032244205474853516,1
336,0.6141093164369918,0.7129629629629629,0.04265958752691199,5,True,"(-0.1, 0.1)",0.05,8,456,0.01599574089050293,0
337,0.5912465965275273,0.7199074074074074,0.042345116380007104,5,True,"(-0.1, 0.1)",0.05,16,42,0.06374669075012207,4
338,0.5905687922349635,0.7129629629629629,0.04265958752691199,5,True,"(-0.1, 0.1)",0.05,16,123,0.051557064056396484,3
339,0.6011753337521613,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.05,16,456,0.025219440460205078,1
340,0.6080996362026967,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.05,32,42,0.03490853309631348,2
341,0.592350509829799,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.05,32,123,0.06354141235351562,4
342,0.6045483684135937,0.7037037037037037,0.043059821757163316,5,True,"(-0.1, 0.1)",0.05,32,456,0.03669476509094238,2
343,0.6126602278677399,0.7245370370370371,0.0421285101281036,5,True,"(-0.1, 0.1)",0.1,8,42,0.08145880699157715,4
344,0.5951532749695535,0.6597222222222222,0.04467983375412043,5,True,"(-0.1, 0.1)",0.1,8,123,0.08028507232666016,4
345,0.6432959957758911,0.7060185185185185,0.04296177648388593,5,True,"(-0.1, 0.1)",0.1,8,456,0.08047890663146973,4
346,0.6000826004817801,0.7199074074074074,0.042345116380007104,5,True,"(-0.1, 0.1)",0.1,16,42,0.06453704833984375,4
347,0.5909755636116852,0.6944444444444444,0.043438822481537555,5,True,"(-0.1, 0.1)",0.1,16,123,0.07062005996704102,4
348,0.6075538532686537,0.7175925925925926,0.04245132141296492,5,True,"(-0.1, 0.1)",0.1,16,456,0.07162785530090332,4
349,0.6018012041393246,0.7083333333333334,0.04286239526652166,5,True,"(-0.1, 0.1)",0.1,32,42,0.02433180809020996,1
350,0.6011959556747791,0.7106481481481481,0.042761668790578904,5,True,"(-0.1, 0.1)",0.1,32,123,0.024319171905517578,1
351,0.5922725773982616,0.7037037037037037,0.043059821757163316,5,True,"(-0.1, 0.1)",0.1,32,456,0.045085906982421875,3
352,0.5974623444728246,0.7361111111111112,0.04156199988267923,5,True,"(-0.5, 0.5)",0.01,8,42,0.0592036247253418,3
353,0.6246520931722979,0.7060185185185185,0.04296177648388593,5,True,"(-0.5, 0.5)",0.01,8,123,0.032808780670166016,1
354,0.6091704100473869,0.6064814814814815,0.04606865760039766,5,True,"(-0.5, 0.5)",0.01,8,456,0.05068707466125488,3
355,0.6097725276559994,0.7430555555555556,0.041204481803583874,5,True,"(-0.5, 0.5)",0.01,16,42,0.06960129737854004,4
356,0.653348751657402,0.7175925925925926,0.04245132141296492,5,True,"(-0.5, 0.5)",0.01,16,123,0.038248300552368164,2
357,0.6347781766141295,0.6689814814814815,0.04437592217750578,5,True,"(-0.5, 0.5)",0.01,16,456,0.05910491943359375,4
358,0.6676992732573036,0.7361111111111112,0.04156199988267923,5,True,"(-0.5, 0.5)",0.01,32,42,0.06554651260375977,4
359,0.6563303359419678,0.7175925925925926,0.04245132141296492,5,True,"(-0.5, 0.5)",0.01,32,123,0.0790092945098877,4
360,0.6830457499803659,0.6388888888888888,0.04529468996677315,5,True,"(-0.5, 0.5)",0.01,32,456,0.06341338157653809,4
361,0.6109671462940687,0.7083333333333334,0.04286239526652166,5,True,"(-0.5, 0.5)",0.05,8,42,0.015540599822998047,0
362,0.6011499146378227,0.7060185185185185,0.04296177648388593,5,True,"(-0.5, 0.5)",0.05,8,123,0.031122446060180664,1
363,0.6126887339101613,0.6967592592592593,0.04334603194892665,5,True,"(-0.5, 0.5)",0.05,8,456,0.07935166358947754,4
364,0.5995538556317771,0.6805555555555556,0.04396870347192746,5,True,"(-0.5, 0.5)",0.05,16,42,0.023203611373901367,1
365,0.6209358337064633,0.7175925925925926,0.04245132141296492,5,True,"(-0.5, 0.5)",0.05,16,123,0.014561891555786133,0
366,0.6025138037537424,0.7013888888888888,0.04315654019155662,5,True,"(-0.5, 0.5)",0.05,16,456,0.02516627311706543,1
367,0.594172745246049,0.7430555555555556,0.041204481803583874,5,True,"(-0.5, 0.5)",0.05,32,42,0.045213937759399414,3
368,0.6166700425465238,0.7060185185185185,0.04296177648388593,5,True,"(-0.5, 0.5)",0.05,32,123,0.024535655975341797,1
369,0.5994739304039887,0.6157407407407407,0.04586963807879957,5,True,"(-0.5, 0.5)",0.05,32,456,0.04397749900817871,3
