config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
222,0.5956471597119128,0.6216666666666667,0.1157487700918579,3,True,he,0.1,8,100,456,0.27437806129455566,"[0.4, 0.64, 0.72, 0.64, 0.7083333333333334]","[np.float64(0.6022657086294073), np.float64(0.6562634652551593), np.float64(0.5646178598572869), np.float64(0.6078620768777939), np.float64(0.5472266879399166)]"
223,0.6015543376169868,0.662,0.13862178760930766,3,True,he,0.1,8,150,42,0.44428324699401855,"[0.4, 0.64, 0.76, 0.76, 0.75]","[np.float64(0.5933581284826812), np.float64(0.6308829103416715), np.float64(0.5743328459935868), np.float64(0.6457328474810798), np.float64(0.5634649557859152)]"
224,0.6004714310202852,0.6533333333333333,0.08924373616363472,3,True,he,0.1,8,150,123,0.35724830627441406,"[0.48, 0.68, 0.72, 0.72, 0.6666666666666666]","[np.float64(0.6143096521862214), np.float64(0.6290529851001712), np.float64(0.5520595766625187), np.float64(0.6125133311435944), np.float64(0.5944216100089209)]"
225,0.5980851431772392,0.6616666666666667,0.09871395263307232,3,True,he,0.1,8,150,456,0.31852102279663086,"[0.48, 0.64, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5933811322718653), np.float64(0.6356719279211338), np.float64(0.5682458288273242), np.float64(0.6177482968119065), np.float64(0.5753785300539661)]"
226,0.5796400875066477,0.6616666666666667,0.13200168349094812,3,True,he,0.1,16,50,42,0.13259387016296387,"[0.4, 0.72, 0.72, 0.76, 0.7083333333333334]","[np.float64(0.5746057211908279), np.float64(0.6135482016154543), np.float64(0.5433588560783494), np.float64(0.5989490154980442), np.float64(0.5677386431505625)]"
227,0.5946379628236123,0.701,0.08856635930193811,3,True,he,0.1,16,50,123,0.13429784774780273,"[0.68, 0.6, 0.84, 0.76, 0.625]","[np.float64(0.5830916152957747), np.float64(0.6673720610389153), np.float64(0.5452784993909651), np.float64(0.6069848988070045), np.float64(0.5704627395854016)]"
228,0.5861729104553633,0.7173333333333333,0.04649492206443387,3,True,he,0.1,16,50,456,0.11006021499633789,"[0.72, 0.68, 0.72, 0.8, 0.6666666666666666]","[np.float64(0.5960881296207293), np.float64(0.6252595843105885), np.float64(0.5482103314330062), np.float64(0.607108932115026), np.float64(0.5541975747974667)]"
229,0.5839315309308044,0.6293333333333333,0.0801775806846555,3,True,he,0.1,16,100,42,0.18820595741271973,"[0.48, 0.64, 0.72, 0.64, 0.6666666666666666]","[np.float64(0.5829105423890681), np.float64(0.6183654238452289), np.float64(0.5611223702715878), np.float64(0.5896416144575329), np.float64(0.5676177036906042)]"
230,0.5819525223348627,0.6293333333333333,0.09812463729586186,3,True,he,0.1,16,100,123,0.25594019889831543,"[0.44, 0.64, 0.72, 0.68, 0.6666666666666666]","[np.float64(0.5795211089382014), np.float64(0.6194996335691692), np.float64(0.5531174817697864), np.float64(0.6038622694613262), np.float64(0.5537621179358303)]"
231,0.5876250156213564,0.734,0.07787168933572713,3,True,he,0.1,16,100,456,0.15425658226013184,"[0.72, 0.6, 0.76, 0.84, 0.75]","[np.float64(0.5960881296207293), np.float64(0.6108859648436691), np.float64(0.5525209388908681), np.float64(0.624561245813623), np.float64(0.5540687989378922)]"
