config_id,mean_loss,mean_accuracy,std_accuracy,max_hidden_units,use_bias,weight_init,learning_rate,batch_size,max_epochs,seed,training_time,fold_accuracies,fold_losses
87,0.5640795747541015,69.4541231126597,8.93025913437449,7,True,he,0.05,16,200,42,0.23340654373168945,"['57.14%', '73.17%', '78.05%']","['0.575154', '0.512483', '0.604601']"
88,0.5653630351831692,66.18273325590398,6.85255177792269,7,True,he,0.05,16,300,42,0.22416186332702637,"['59.52%', '75.61%', '63.41%']","['0.571868', '0.518991', '0.605230']"
89,0.565919418429314,66.9957413859853,6.616529010468987,7,True,he,0.1,8,200,42,0.2586231231689453,"['59.52%', '65.85%', '75.61%']","['0.584481', '0.507915', '0.605363']"
90,0.5632820346137569,65.3697251258227,4.58838293197072,7,True,he,0.1,8,300,42,0.31438112258911133,"['59.52%', '65.85%', '70.73%']","['0.584481', '0.508077', '0.597288']"
91,0.5620719132820233,67.03445605884632,8.67800424452712,7,True,he,0.1,16,200,42,0.25951695442199707,"['54.76%', '73.17%', '73.17%']","['0.576897', '0.507793', '0.601526']"
92,0.5615012353787553,62.95005807200929,4.56373581983473,7,True,he,0.1,16,300,42,0.3690829277038574,"['57.14%', '63.41%', '68.29%']","['0.576782', '0.506945', '0.600777']"
93,0.5663659409048742,68.6411149825784,8.191241664346324,7,True,he,0.2,8,200,42,0.30973386764526367,"['57.14%', '75.61%', '73.17%']","['0.580869', '0.512248', '0.605980']"
94,0.561816769824023,66.2020905923345,6.405845404477437,7,True,he,0.2,8,300,42,0.45391130447387695,"['57.14%', '70.73%', '70.73%']","['0.575843', '0.509448', '0.600160']"
95,0.5639480133795245,67.03445605884632,8.67800424452712,7,True,he,0.2,16,200,42,0.2683732509613037,"['54.76%', '73.17%', '73.17%']","['0.583439', '0.508165', '0.600240']"
96,0.5594424577810098,65.36972512582268,7.26501235168656,7,True,he,0.2,16,300,42,0.3729381561279297,"['59.52%', '60.98%', '75.61%']","['0.575838', '0.506244', '0.596246']"
97,0.5632812501448458,71.79636082075108,6.282581517569697,8,True,xavier,0.05,8,200,42,0.2573723793029785,"['69.05%', '65.85%', '80.49%']","['0.579651', '0.509130', '0.601063']"
98,0.5616283353591632,70.98335269066978,5.1633676609946315,8,True,xavier,0.05,8,300,42,0.35751986503601074,"['69.05%', '65.85%', '78.05%']","['0.579651', '0.506705', '0.598529']"
99,0.5688895368337447,73.40301974448316,3.2973448470565345,8,True,xavier,0.05,16,200,42,0.16414165496826172,"['71.43%', '78.05%', '70.73%']","['0.580208', '0.509054', '0.617407']"
